#;Hotel Name;Country;Price of the cheapest room;Link;Comment
1;Maia Luxury Resort & Spa;Seychelles;1,983.53 USD;http://www.lhw.com/hotel/Maia-Luxury-Resort-Spa-Mahe-Seychelles/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
2;Royal Mansour Marrakech;Morocco;1,791.11 USD;http://www.lhw.com/hotel/Royal-Mansour-Marrakech-Marrakech-Morocco/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
3;Zulu Camp at Shambala Private Game Reserve;South Africa;1,715.10 USD;http://www.lhw.com/hotel/Zulu-Camp-at-Shambala-Private-Game-Reserve-Vaalwater-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
4;Royal Palm Hotel;Mauritius;1,375.80 USD;http://www.lhw.com/hotel/Royal-Palm-Hotel-Grand-Baie-Mauritius/select-room?indate=20141016&outdate=20141017&rooms=1&numadult1=2&numchild1=0&cur=USD;16-17 Oct
5;Maradiva Villas Resort and Spa;Mauritius;1,337.21 USD;http://www.lhw.com/hotel/Maradiva-Villas-Resort-Spa-Flic-en-Flac-Mauritius/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&numadult2=1&numchild2=0&cur=USD;  
6;Constance Lemuria, Seychelles;Seychelles;1,002.91 USD;http://www.lhw.com/hotel/Constance-Lemuria-Seychelles-Praslin-Seychelles/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
7;The Residence Zanzibar;Tanzania, United Republic Of;973.66 USD;http://www.lhw.com/hotel/The-Residence-Zanzibar-Zanzibar-Tanzania-United-Republic-Of/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
8;Palais Namaskar;Morocco;801.68 USD;http://www.lhw.com/hotel/Palais-Namaskar-Marrakech-Morocco/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
9;Constance Le Prince Maurice, Mauritius;Mauritius;689.50 USD;http://www.lhw.com/hotel/Constance-Le-Prince-Maurice-Mauritius-Poste-de-Flacq-Mauritius/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
10;Cape Grace;South Africa;688.14 USD;http://www.lhw.com/hotel/Cape-Grace-Cape-Town-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
11;Le Touessrok;Mauritius;681.14 USD;http://www.lhw.com/hotel/Le-Touessrok-Trou-DEau-Douce-Mauritius/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
12;Saxon Hotel, Villas & Spa;South Africa;647.93 USD;http://www.lhw.com/hotel/Saxon-Hotel-Villas-Spa-Johannesburg-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
13;La Mamounia;Morocco;543.51 USD;http://www.lhw.com/hotel/La-Mamounia-Marrakech-Morocco/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
14;Shanti Maurice - A Nira Resort;Mauritius;515.38 USD;http://www.lhw.com/hotel/Shanti-Maurice-A-Nira-Resort-Chemin-Grenier-Mauritius/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
15;The Palace of the Lost City at Sun City;South Africa;507.00 USD;http://www.lhw.com/hotel/The-Palace-of-the-Lost-City-at-Sun-City-Sun-City-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
16;Thanda Private Game Reserve;South Africa;489.76 USD;http://www.lhw.com/hotel/Thanda-Private-Game-Reserve-Hluhluwe-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
17;The Residence Tunis;Tunisia;438.77 USD;http://www.lhw.com/hotel/The-Residence-Tunis-Les-Cotes-de-Carthage-Tunisia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
18;Hideaway of Nungwi Resort & Spa;Tanzania, United Republic Of;411.19 USD;http://www.lhw.com/hotel/Hideaway-of-Nungwi-Resort-Spa-Zanzibar-Tanzania/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
19;The Victoria Falls Hotel;Zimbabwe;398.00 USD;http://www.lhw.com/hotel/The-Victoria-Falls-Hotel-Victoria-Falls-Zimbabwe/select-room?indate=20141009&outdate=20141010&rooms=1&numadult1=2&numchild1=0&cur=USD;9-10 Oct
20;The Table Bay Hotel;South Africa;367.22 USD;http://www.lhw.com/hotel/The-Table-Bay-Hotel-Cape-Town-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
21;Fancourt;South Africa;348.74 USD;http://www.lhw.com/hotel/Fancourt-George-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
22;12 Apostles Hotel & Spa;South Africa;346.83 USD;http://www.lhw.com/hotel/12-Apostles-Hotel-Spa-Cape-Town-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
23;The Oyster Box;South Africa;342.16 USD;http://www.lhw.com/hotel/The-Oyster-Box-Umhlanga-Rocks-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
24;Kampala Serena Hotel;Uganda;340.00 USD;http://www.lhw.com/hotel/Kampala-Serena-Hotel-Kampala-Uganda/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
25;Taj Cape Town;South Africa;321.58 USD;http://www.lhw.com/hotel/Taj-Cape-Town-Cape-Town-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;  
26;The Michelangelo Hotel;South Africa;297.28 USD;http://www.lhw.com/hotel/The-Michelangelo-Hotel-Johannesburg-South-Africa/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
27;Meikles Hotel;Zimbabwe;276.00 USD;http://www.lhw.com/hotel/Meikles-Hotel-Harare-Zimbabwe/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;  
28;Nairobi Serena Hotel;Kenya;275.00 USD;http://www.lhw.com/hotel/Nairobi-Serena-Hotel-Nairobi-Kenya/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;  
