#;Hotel Name;Country;Price of the cheapest room;Link;      
1;The Chedi Andermatt;Switzerland;911.25 USD;http://www.lhw.com/hotel/The-Chedi-Andermatt-Andermatt-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
2;Widder Hotel;Switzerland;854.29 USD;http://www.lhw.com/hotel/Widder-Hotel-Zurich-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
3;Baur au Lac;Switzerland;842.90 USD;http://www.lhw.com/hotel/Baur-au-Lac-Zurich-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
4;Rocco Forte The Charles Hotel;Germany;832.50 USD;http://www.lhw.com/hotel/Rocco-Forte-The-Charles-Hotel-Munich-Germany/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
5;Schloss Elmau - Luxury Spa & Cultural Hideaway;Germany;826.95 USD;http://www.lhw.com/hotel/Schloss-Elmau-Luxury-Spa-Cultural-Hideaway-Elmau-Germany/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
6;Carlton Hotel St. Moritz;Switzerland;820.12 USD;http://www.lhw.com/hotel/Carlton-Hotel-St-Moritz-St-Moritz-Switzerland/select-room?indate=20141212&outdate=20141213&rooms=1&numadult1=2&numchild1=0&cur=USD;12-13 Dec
7;Grand Hotel Les Trois Rois;Switzerland;745.51 USD;http://www.lhw.com/hotel/Grand-Hotel-Les-Trois-Rois-Basel-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
8;Bayerischer Hof;Germany;707.63 USD;http://www.lhw.com/hotel/Bayerischer-Hof-Munich-Germany/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
9;Suvretta House;Switzerland;672.04 USD;http://www.lhw.com/hotel/Suvretta-House-St-Moritz-Switzerland/select-room?indate=20140905&outdate=20140906&rooms=1&numadult1=2&numchild1=0&cur=USD;5-6 Sep
10;Beau-Rivage, Geneve;Switzerland;667.49 USD;http://www.lhw.com/hotel/Beau-Rivage-Geneve-Geneva-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
11;Hotel Eden Roc;Switzerland;660.65 USD;http://www.lhw.com/hotel/Hotel-Eden-Roc-Ascona-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
12;Hotel Sacher Wien;Austria;652.13 USD;http://www.lhw.com/hotel/Hotel-Sacher-Wien-Vienna-Austria/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
13;Hotel K?nigshof;Germany;652.13 USD;http://www.lhw.com/hotel/Hotel-Konigshof-Munich-Germany/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
14;The Dolder Grand;Switzerland;637.87 USD;http://www.lhw.com/hotel/The-Dolder-Grand-Zurich-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
15;Grand Resort Bad Ragaz;Switzerland;626.48 USD;http://www.lhw.com/hotel/Grand-Resort-Bad-Ragaz-Bad-Ragaz-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
16;Hotel d'Angleterre, Geneva;Switzerland;626.48 USD;http://www.lhw.com/hotel/Hotel-dAngleterre-Geneva-Geneva-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      ;
17;Hotel Guarda Golf;Switzerland;626.48 USD;http://www.lhw.com/hotel/Hotel-Guarda-Golf-Crans-Montana-Switzerland/select-room?indate=20140912&outdate=20140913&rooms=1&numadult1=2&numchild1=0&cur=USD;12-13 Sep;
18;LeCrans Hotel & Spa;Switzerland;626.48 USD;http://www.lhw.com/hotel/LeCrans-Hotel-Spa-Crans-Montana-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      ;
19;Thurnher's Alpenhof;Austria;568.88 USD;http://www.lhw.com/hotel/Thurnhers-Alpenhof-Zurs-am-Arlberg-Austria/select-room?indate=20141212&outdate=20141214&rooms=1&numadult1=2&numchild1=0&cur=USD;12-14 Dec (min 2 nights stay required; 
20;La R?serve Gen?ve Hotel & Spa;Switzerland;560.42 USD;http://www.lhw.com/hotel/La-Reserve-Geneve-Hotel-Spa-BellevueGeneva-Switzerland/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      ;
21;Interalpen-Hotel Tyrol;Austria;563.33 USD;http://www.lhw.com/hotel/Interalpen-Hotel-Tyrol-Telfs-Austria/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      ;
22;Grand Hotel Park;Switzerland;558.14 USD;http://www.lhw.com/hotel/Grand-Hotel-Park-Gstaad-Switzerland/select-room?indate=20140912&outdate=20140913&rooms=1&numadult1=2&numchild1=0&cur=USD;12-13 Sep;
