#;Hotel Name;Country;Price of the cheapest room;Link;Comment
1;Golden Savoy;Turkey;891.47 USD;http://www.lhw.com/hotel/Golden-Savoy-Bodrum-Mugla-Turkey/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
2;One&Only The Palm;United Arab Emirates;808.00 USD;http://www.lhw.com/hotel/OneOnly-The-Palm-Dubai-United-Arab-Emirates/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
3;Residence & Spa at One&Only Royal Mirage Dubai;United Arab Emirates;770.00 USD;http://www.lhw.com/hotel/Residence-Spa-at-OneOnly-Royal-Mirage-Dubai-United-Arab-Emirates/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
4;?ira?an Palace Kempinski Istanbul;Turkey;585.03 USD;http://www.lhw.com/hotel/Ciragan-Palace-Kempinski-Istanbul-Istanbul-Turkey/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
5;The King David;Israel;560.00 USD;http://www.lhw.com/hotel/The-King-David-Jerusalem-Israel/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
6;D-Hotel Maris;Turkey;557.17 USD;http://www.lhw.com/hotel/D-Hotel-Maris-Mugla-Turkey/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
7;The American Colony Hotel;Israel;520.00 USD;http://www.lhw.com/hotel/The-American-Colony-Hotel-Jerusalem-Israel/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
8;Al Faisaliah Hotel, A Rosewood Hotel;Saudi Arabia;466.56 USD;http://www.lhw.com/hotel/Al-Faisaliah-Hotel-A-Rosewood-Hotel-Riyadh-Saudi-Arabia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
9;Le Gray;Lebanon;405.00 USD;http://www.lhw.com/hotel/Le-Gray-Beirut-Lebanon/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
10;The Chedi Muscat;Oman;480.52 USD;http://www.lhw.com/hotel/The-Chedi-Muscat-Muscat-Oman/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
11;The Torch - Doha;Qatar;384.62 USD;http://www.lhw.com/hotel/The-Torch-Doha-Doha-Qatar/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
12;La Cigale Hotel;Qatar;324.18 USD;http://www.lhw.com/hotel/La-Cigale-Hotel-Doha-Qatar/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
13;The Grand Tarabya;Turkey;292.51 USD;http://www.lhw.com/hotel/The-Grand-Tarabya-Istanbul-Turkey/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=1&numchild1=0&cur=USD;        
14;Swiss?tel The Bosphorus, Istanbul;Turkey;278.59 USD;http://www.lhw.com/hotel/Swissotel-The-Bosphorus-Istanbul-Istanbul-Turkey/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
15;Le Royal Hotels & Resorts - Beirut;Lebanon;275.00 USD;http://www.lhw.com/hotel/Le-Royal-Hotels-Resorts-Beirut-Beirut-Lebanon/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
16;The H Hotel, Dubai;United Arab Emirates;209.64 USD;http://www.lhw.com/hotel/The-H-Hotel-Dubai-Dubai-United-Arab-Emirates/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
17;La Residence des Cascades;Egypt;195.01 USD;http://www.lhw.com/hotel/La-Residence-des-Cascades-Hurghada-Egypt/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
18;Nobu Hotel Riyadh;Saudi Arabia;no rooms av;http://www.lhw.com/hotel/Nobu-Hotel-Riyadh-Riyadh-Saudi-Arabia;        
