#;Hotel Name;Country;Price of the cheapest room;Link;Comment
1;The Vines Resort & Spa;Argentina;850.00 USD;http://www.lhw.com/hotel/The-Vines-Resort-Spa-Mendoza-Argentina/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
2;Hotel Fasano Rio de Janeiro;Brazil;740.00 USD;http://www.lhw.com/hotel/Hotel-Fasano-Rio-de-Janeiro-Rio-de-Janeiro-Brazil/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
3;Hotel Fasano S?o Paulo;Brazil;650.00 USD;http://www.lhw.com/hotel/Hotel-Fasano-Sao-Paulo-Sao-Paulo-Brazil/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
4;Hotel Emiliano;Brazil;630.00 USD;http://www.lhw.com/hotel/Hotel-Emiliano-Sao-Paulo-Brazil/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
5;Faena Hotel Buenos Aires;Argentina;549.00 USD;http://www.lhw.com/hotel/Faena-Hotel-Buenos-Aires-Buenos-Aires-Argentina/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
6;Belmond Copacabana Palace;Brazil;524.68 USD;http://www.lhw.com/hotel/Belmond-Copacabana-Palace-Rio-de-Janeiro-Brazil/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
7;Hotel Fasano Boa Vista;Brazil;448.44 USD;http://www.lhw.com/hotel/Hotel-Fasano-Boa-Vista-Porto-Feliz-Brazil/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
8;Arakur Ushuaia Resort & Spa;Argentina;438.00 USD;http://www.lhw.com/hotel/Arakur-Ushuaia-Resort-Spa-Ushuaia-Tierra-del%20Fuego-Argentina/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
9;Royal Palm Hotel - Galapagos;Ecuador;425.00 USD;http://www.lhw.com/hotel/Royal-Palm-Hotel-Galapagos-Galapagos-Islands-Ecuador/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
10;Cayena-Caracas;Venezuela;419.00 USD;http://www.lhw.com/hotel/Cayena-Caracas-Caracas-Venezuela/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
11;Hotel Casa San Agustin;Colombia;405.41 USD;http://www.lhw.com/hotel/Hotel-Casa-San-Agustin-Cartagena-Colombia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
12;Alvear Palace Hotel;Argentina;392.70 USD;http://www.lhw.com/hotel/Alvear-Palace-Hotel-Buenos-Aires-Argentina/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
12;Hotel Charleston Santa Teresa;Colombia;302.81 USD;http://www.lhw.com/hotel/Hotel-Charleston-Santa-Teresa-Cartagena-Colombia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
13;Hotel Fasano Las Piedras, Punta del Este;Uruguay;310.00 USD;http://www.lhw.com/hotel/Hotel-Fasano-Las-Piedras-Punta-del-Este-Punta-del-Este-Uruguay/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
14;Hotel Charleston Bogot?;Colombia;289.16 USD;http://www.lhw.com/hotel/Hotel-Charleston-Bogota-Bogota-Colombia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
15;Alvear Art Hotel;Argentina;227.15 USD;http://www.lhw.com/hotel/Alvear-Art-Hotel-Buenos-Aires-Argentina/select-room?indate=20141002&outdate=20141003&rooms=1&numadult1=2&numchild1=0&cur=USD;2-3 Oct
16;Charleston Casa Medina;Colombia;277.84 USD;http://www.lhw.com/hotel/Charleston-Casa-Medina-Bogota-Colombia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
17;Country Club Lima Hotel;Peru;269.00 USD;http://www.lhw.com/hotel/Country-Club-Lima-Hotel-Lima-Peru/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
18;Llao Llao Hotel & Resort, Golf-Spa;Argentina;245.00 USD;http://www.lhw.com/hotel/Llao-Llao-Hotel-Resort-Golf-Spa-Bariloche-Argentina/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
19;Tivoli S?o Paulo - Mofarrej;Brazil;243.95 USD;http://www.lhw.com/hotel/Tivoli-Sao-Paulo-Mofarrej-Sao-Paulo-Brazil/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
20;Hotel Oro Verde, Guayaquil;Ecuador;125.10 USD;http://www.lhw.com/hotel/Hotel-Oro-Verde-Guayaquil-Guayaquil-Ecuador/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
