#;Hotel Name;Country;Price of the cheapest room;Link;      
1;RODINA Grand Hotel & SPA;Russia;770.36 USD;http://www.lhw.com/hotel/RODINA-Grand-Hotel-SPA-Sochi-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
2;Lotte Hotel Moscow;Russia;672.31 USD;http://www.lhw.com/hotel/Lotte-Hotel-Moscow-Moscow-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
3;Barvikha Hotel & Spa;Russia;529.45 USD;http://www.lhw.com/hotel/Barvikha-Hotel-Spa-Moscow-Region-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
4;Astrum Spa & Conference Hotel Shelkovo;Russia;496.67 USD;http://www.lhw.com/hotel/Astrum-Spa-Conference-Hotel-Shelkovo-Shelkovo-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
5;The Taleon Imperial Hotel;Russia;380.98 USD;http://www.lhw.com/hotel/The-Taleon-Imperial-Hotel-St-Petersburg-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
6;Carlsbad Plaza;Czech Republic;374.63 USD;http://www.lhw.com/hotel/Carlsbad-Plaza-Hotel-Karlovy-Vary-Czech-Republic/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
7;Hotel Monte Mulini;Croatia;363.53 USD;http://www.lhw.com/hotel/Hotel-Monte-Mulini-Rovinj-Croatia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
8;Donbass Palace Hotel;Ukraine;354.96 USD;http://www.lhw.com/hotel/Donbass-Palace-Hotel-Donetsk-Ukraine/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
9;Falkensteiner Hotel & Spa Iadera;Croatia;345.49 USD;http://www.lhw.com/hotel/Falkensteiner-Hotel-Spa-Iadera-Petrcane-Croatia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
10;The Augustine;Czech Republic;327.45 USD;http://www.lhw.com/hotel/The-Augustine-Prague-Czech-Republic/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
11;Baltschug Kempinski Moscow;Russia;358.57 USD;http://www.lhw.com/hotel/Hotel-Baltschug-Kempinski-Moscow-Moscow-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
12;Rocco Forte Hotel Astoria;Russia;309.54 USD;http://www.lhw.com/hotel/Rocco-Forte-Hotel-Astoria-St-Petersburg-Russia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
13;Opera Hotel;Ukraine;231.71 USD;http://www.lhw.com/hotel/Opera-Hotel-Kiev-Ukraine/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
14;ARCADIA Hotel*****;Slovakia;194.25 USD;http://www.lhw.com/hotel/ARCADIA-Hotel-Bratislava-Slovakia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
15;Kempinski Corvinus Budapest;Hungary;194.25 USD;http://www.lhw.com/hotel/Kempinski-Corvinus-Budapest-Budapest-Hungary/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
16;Superior Golf & Spa Resort;Ukraine;105.22 USD;http://www.lhw.com/hotel/Superior-Golf-SPA-Resort-Kharkiv-Ukraine/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
17;Kempinski Hotel Grand Arena;Bulgaria;90.19 USD;http://www.lhw.com/hotel/Kempinski-Hotel-Grand-Arena-Bansko-Bulgaria/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;      
