#;Hotel Name;Country;Price of the cheapest room;Link;Comment
1;Wheatleigh;United States;885.00 USD;http://www.lhw.com/hotel/Wheatleigh-Lenox-MA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
2;The Pierre, New York, A Taj Hotel;United States;810.00 USD;http://www.lhw.com/hotel/The-Pierre-New-York-A-Taj-Hotel-New-York-NY/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
3;SKYLOFTS at MGM Grand;United States;798.00 USD;http://www.lhw.com/hotel/SKYLOFTS-at-MGM-Grand-Las-Vegas-NV/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
4;H?tel Plaza Ath?n?e New York;United States;745.00 USD;http://www.lhw.com/hotel/Hotel-Plaza-Athenee-New-York-New-York-NY/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
5;Williamsburg Inn;United States;720.00 USD;http://www.lhw.com/hotel/Williamsburg-Inn-Williamsburg-VA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
6;The Lowell;United States;720.00 USD;http://www.lhw.com/hotel/The-Lowell-New-York-NY/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
7;Langham Place, Fifth Avenue;United States;695.00 USD;http://www.lhw.com/hotel/Langham-Place-Fifth-Avenue-New-York-NY/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
8;Grand Velas Riviera Maya;Mexico;694.00 USD;http://www.lhw.com/hotel/Grand-Velas-Riviera-Maya-Riviera-Maya-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
9;San Ysidro Ranch;United States;610.00 USD;http://www.lhw.com/hotel/San-Ysidro-Ranch-Santa-Barbara-CA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
10;Taj Campton Place;United States;596.00 USD;http://www.lhw.com/hotel/Taj-Campton-Place-San-Francisco-CA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
11;The Greenwich Hotel;United States;575.00 USD;http://www.lhw.com/hotel/The-Greenwich-Hotel-New-York-NY/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
12;Grand Velas Riviera Nayarit;Mexico;562.00 USD;http://www.lhw.com/hotel/Grand-Velas-Riviera-Nayarit-Nuevo-Vallarta-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
13;Fisher Island Hotel and Resort;United States;561.00 USD;http://www.lhw.com/hotel/Fisher-Island-Hotel-and-Resort-Fisher-Island-FL/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
14;Halekulani;United States;520.00 USD;http://www.lhw.com/hotel/Halekulani-Honolulu-HI/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
15;Bernardus Lodge & Spa;United States;515.00 USD;http://www.lhw.com/hotel/Bernardus-Lodge-Spa-Carmel-Valley-CA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
16;The Hay-Adams;United States;499.00 USD;http://www.lhw.com/hotel/The-Hay-Adams-Washington-DC/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
17;Canyon Ranch Hotel & Spa in Miami Beach;United States;495.00 USD;http://www.lhw.com/hotel/Canyon-Ranch-Hotel-Spa-in-Miami-Beach-Miami-Beach-FL/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
18;Shutters on the Beach;United States;495.00 USD;http://www.lhw.com/hotel/Shutters-on-the-Beach-Santa-Monica-CA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
19;The Setai, Miami Beach;United States;488.75 USD;http://www.lhw.com/hotel/The-Setai-Miami-Beach-Miami-Beach-FL/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
20;Zo?try Paraiso de la Bonita Riviera Maya;Mexico;475.00 USD;http://www.lhw.com/hotel/Zoetry-Paraiso-de-la-Bonita-Riviera-Maya-Riviera-Maya-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
21;Casa Del Mar;United States;450.00 USD;http://www.lhw.com/hotel/Casa-Del-Mar-Santa-Monica-CA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
22;Acqualina Resort & Spa on the Beach;United States;475.00 USD;http://www.lhw.com/hotel/Acqualina-Resort-Spa-on-the-Beach-Sunny-Isles-Beach-FL/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
23;The Kahala Hotel & Resort;United States;440.00 USD;http://www.lhw.com/hotel/The-Kahala-Hotel-Resort-Honolulu-HI/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
24;Chatham Bars Inn;United States;445.00 USD;http://www.lhw.com/hotel/Chatham-Bars-Inn-Chatham-MA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
25;Secrets Marquis Los Cabos;Mexico;444.00 USD;http://www.lhw.com/hotel/Secrets-Marquis-Los-Cabos-Los-Cabos-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
26;The Rittenhouse;United States;439.00 USD;http://www.lhw.com/hotel/The-Rittenhouse-Philadelphia-PA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
