#;Hotel Name;Country;Price of the cheapest room;Link;        
1;Le Bristol Paris;France;1,392.93 USD;http://www.lhw.com/hotel/Le-Bristol-Paris-Paris-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
2;Le Royal Monceau – Raffles Paris;France;1,337.21 USD;http://www.lhw.com/hotel/Le-Royal-Monceau-Raffles-Paris-Paris-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
3;H?tel Fouquet's Barri?re;France;1,295.42 USD;http://www.lhw.com/hotel/Hotel-Fouquets-Barriere-Paris-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
4;Grand H?tel de Bordeaux & Spa;France;1,235.53 USD;http://www.lhw.com/hotel/Grand-Hotel-de-Bordeaux-Spa-Bordeaux-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
5;H?tel Hermitage Monte-Carlo;Monaco;1,107.38 USD;http://www.lhw.com/hotel/Hotel-Hermitage-Monte-Carlo-Monte-Carlo-Monaco/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
6;H?tel M?tropole, Monte-Carlo;Monaco;947.19 USD;http://www.lhw.com/hotel/Hotel-Metropole-Monte-Carlo-Monte-Carlo-Monaco/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
7;La R?serve Ramatuelle Hotel-Spa & Villas;France;905.40 USD;http://www.lhw.com/hotel/La-R%C3%A9serve-Ramatuelle-Hotel-Spa-Villas-Ramatuelle-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
8;Hotel Byblos Saint-Tropez;France;877.54 USD;http://www.lhw.com/hotel/Hotel-Byblos-Saint-Tropez-St-Tropez-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
9;Hotel Raphael;France;835.76 USD;http://www.lhw.com/hotel/Hotel-Raphael-Paris-Paris-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
10;Alva Park Costa Brava;Spain;807.90 USD;http://www.lhw.com/hotel/Alva-Park-Costa-Brava-Lloret-de-Mar-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
11;Seaside Grand Hotel Residencia;Spain;717.36 USD;http://www.lhw.com/hotel/Seaside-Grand-Hotel-Residencia-Gran-Canaria-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
12;H?tel Lancaster;France;696.46 USD;http://www.lhw.com/hotel/Hotel-Lancaster-Paris-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
13;H?tel du Palais;France;661.64 USD;http://www.lhw.com/hotel/Hotel-du-Palais-Biarritz-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
14;H?tel de Paris Monte-Carlo;Monaco;594.78 USD;http://www.lhw.com/hotel/Hotel-de-Paris-Monte-Carlo-Monte-Carlo-Monaco/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
15;Hotel Casadelmar;France;571.10 USD;http://www.lhw.com/hotel/Hotel-Casadelmar-Porto-Vecchio-Corsica-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
16;Belmond La Residencia;Spain;534.88 USD;http://www.lhw.com/hotel/Belmond-La-Residencia-Deia-Mallorca-Balearic-Islands-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
17;Barcel? La Bobadilla;Spain;491.70 USD;http://www.lhw.com/hotel/Barcelo-La-Bobadilla-Loja-Granada-Andalucia-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
18;VILA VITA Parc Resort & Spa;Portugal;487.52 USD;http://www.lhw.com/hotel/VILA-VITA-Parc-Resort-Spa-Porches-Algarve-Portugal/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
19;Ch?teau H?tel de la Messardi?re;France;487.52 USD;http://www.lhw.com/hotel/Chateau-Hotel-de-la-Messardiere-St-Tropez-France/select-room?indate=20141024&outdate=20141025&rooms=1&numadult1=2&numchild1=0&cur=USD;Oct 24 -25
20;Grand-H?tel du Cap-Ferrat;France;473.60 USD;http://www.lhw.com/hotel/Grand-Hotel-du-Cap-Ferrat-St-Jean-Cap-Ferrat-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
21;Marbella Club Hotel;Spain;473.60 USD;http://www.lhw.com/hotel/Marbella-Club-Hotel-Golf-Resort-Spa-Marbella-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
22;Hotel Quinta do Lago;Portugal;466.63 USD;http://www.lhw.com/hotel/Hotel-Quinta-do-Lago-Almancil-Algarve-Portugal/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
23;Hotel Villa Magna;Spain;445.74 USD;http://www.lhw.com/hotel/Hotel-Villa-Magna-Madrid-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
24;Castell Son Claret;Spain;433.20 USD;http://www.lhw.com/hotel/Castell-Son-Claret-Es-Capdella-Calvia-Mallorca-Balearic-Islands-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
25;Gran Bahia Del Duque Resort;Spain;424.84 USD;http://www.lhw.com/hotel/Gran-Bahia-del-Duque-Resort-Tenerife-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
26;Terre Blanche Hotel Spa Golf Resort;France;424.15 USD;http://www.lhw.com/hotel/Terre-Blanche-Hotel-Spa-Golf-Resort-Tourrettes-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
27;El Palace Barcelona;Spain;417.88 USD;http://www.lhw.com/hotel/El-Palace-Barcelona-Barcelona-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
28;Hotel Ritz by Belmond;Spain;411.54 USD;http://www.lhw.com/hotel/Hotel-Ritz-Belmond-Madrid-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
29;Belmond Reid’s Palace;Portugal;410.91 USD;http://www.lhw.com/hotel/Belmond-Reids-Palace-Funchal-Madeira-Portugal/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
30;Olissippo Lapa Palace;Portugal;396.98 USD;http://www.lhw.com/hotel/Olissippo-Lapa-Palace-Lisbon-Portugal/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
31;Barcel? Asia Gardens Hotel & Thai Spa;Spain;390.02 USD;http://www.lhw.com/hotel/Barcelo-Asia-Gardens-Hotel-Thai-Spa-Alicante-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
32;Royal Barri?re;France;387.23 USD;http://www.lhw.com/hotel/Royal-Barriere-Deauville-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
33;La R?serve de Beaulieu & Spa;France;376.09 USD;http://www.lhw.com/hotel/La-Reserve-de-Beaulieu-Spa-Beaulieu-sur-Mer-France/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
34;Hostal de la Gavina;Spain;362.16 USD;http://www.lhw.com/hotel/Hostal-de-la-Gavina-Costa-Brava-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
35;Hotel Casa Fuster;Spain;338.48 USD;http://www.lhw.com/hotel/Hotel-Casa-Fuster-Barcelona-Spain/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0;        
